4 100 -10 10 22
2133.8 7.685 1139.6 693.2 15000.0
2732.6 7.763 1528.1 681.2 14380.0
3158.3 7.838 1675.3 917 14220.0
3440.6 7.913 1876.1 781 15330.0
3775.1 7.982 1580.1 1055.9 16150.0
4718.1 8.048 1810.7 1895.3 16420.0
5315.6 8.111 1983.6 2205.9 17090.0
6062.5 8.171 3034.2 2592.8 16320.0
7146.5 8.234 4684.2 3002 18410.0
8530.2 8.306 6203 4161.8 18960.0
12522.5 8.391 6624.5 7881.8 20043
18746.2 8.484 7265.7 12467 21665
28360.5 8.581 8086.4 19321.7 18176
40137.2 8.763 9418.9 26400.7 17884
35601.5 8.947 8226.9 18383.1 14499
42465 9.054 8782.3 23060.5 14502
52082 9.173 12541.9 29388.3 15640
54743.7 9.295 13843.8 29000.3 19080
58182 9.416 15278.6 28169.3 19710
59014.1 9.535 15467.4 25537.5 21000
54380 9.649 18927.9 20552.8 21660
60393.6 9.762 26375.4 28054 21578.4 

